"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1M003105","47383","POINCIANA PLACE CONDO B","Palm Beach","1500 GATEWAY BLVD #220, BOYNTON BEACH, FL 33426","48","01/01/1978","Approved","Recorded","MA00011327","POINCIANA PLACE CONDO ASSN III INC","C/O CONNI GIBSON, CPA","7040 SEMINOLE PRATT WHITNEY RD","LOXAHATCHEE","FL","33470"
"PR1M003106","47384","POINCIANA PLACE CONDO 8","Palm Beach","3871 POINCIANA DR, LAKE WORTH, FL 33467-2924","48","04/05/1979","Approved","Recorded","MA00006342","POINCIANA PLACE CONDO ASSN IV","C/O SOUTHERN SHORES MANAGEMENT INC","6801 LAKE WORTH RD, SUITE 350","GREENACRES","FL","33467"
"PR1M003107","47385","POINCIANA PLACE CONDO 9","Palm Beach","3959 POINCIANA DR, LAKE WORTH, FL 33467-2936","96","04/05/1979","Approved","Recorded","MA00006342","POINCIANA PLACE CONDO ASSN IV","C/O SOUTHERN SHORES MANAGEMENT INC","6801 LAKE WORTH RD, SUITE 350","GREENACRES","FL","33467"
"PR1M003108","47386","POINCIANA PLACE CONDO C","Palm Beach","1500 GATEWAY BLVD #220, BOYNTON BEACH, FL 33426","48","01/01/1978","Approved","Recorded","MA00011327","POINCIANA PLACE CONDO ASSN III INC","C/O CONNI GIBSON, CPA","7040 SEMINOLE PRATT WHITNEY RD","LOXAHATCHEE","FL","33470"
"PR1M003109","47387","POINCIANA PLACE","Palm Beach","3931 VIA POINCIANA, LAKE WORTH, FL 33460","258","09/30/1974","Approved","Recorded","MA00005479","POINCIANA PLACE CONDO ASSN INC I & II","","3536 VIA POINCIANA","LAKE WORTH","FL","33467"
"PR1M003136","47388","KNOLLWOOD CLUB 3","Palm Beach","4000 S 57TH AVE SUITE 104, LAKE WORTH , FL 33463","18","09/06/1973","Approved","Recorded","MA00008362","KNOLLWOOD CLUB CONDO ASSN INC","C/O FLORIDA MANAGEMENT PRO'S INC","4000 S 57TH AVENUE","LAKE WORTH","FL","33463"
"PR1M003137","47389","KNOLLWOOD CLUB 4","Palm Beach","5971 BASID DRIVE, W. PALM BEACH, FL 33406","18","09/06/1973","Approved","Recorded","MA00008362","KNOLLWOOD CLUB CONDO ASSN INC","C/O FLORIDA MANAGEMENT PRO'S INC","4000 S 57TH AVENUE","LAKE WORTH","FL","33463"
"PR1M003179","47400","TRELLISES #1A, THE","Broward","9701 N NEW RIVER CANAL RD #1A, PLANTATION, FL 33324-3428","5","12/08/1976","Approved","Recorded","MA00004773","TRELLISES ASSN, INC","","9731 N  NEW RIVER CANAL ROAD","PLANTATION","FL","33324-3419"
"PR1M003181","47402","TRELLISES #2","Broward","9731 N NEW RIVER CANAL RD #2, PLANTATION, FL 33324-3400","22","01/01/1974","Approved","Recorded","MA00004773","TRELLISES ASSN, INC","","9731 N  NEW RIVER CANAL ROAD","PLANTATION","FL","33324-3419"
"PR1M003182","47403","TRELLISES #3, THE","Broward","9701 N NEW RIVER CANAL RD #3, PLANTATION, FL 33324-3428","15","05/14/1974","Approved","Recorded","MA00004773","TRELLISES ASSN, INC","","9731 N  NEW RIVER CANAL ROAD","PLANTATION","FL","33324-3419"
"PR1M003184","47405","TRELLISES #4B, THE","Broward","9701 N NEW RIVER CANAL RD #4B, PLANTATION, FL 33324-3428","16","12/30/1976","Approved","Recorded","MA00004773","TRELLISES ASSN, INC","","9731 N  NEW RIVER CANAL ROAD","PLANTATION","FL","33324-3419"
"PR1M003186","47407","TRELLISES #5B, THE","Broward","9731 N NEW RIVER CANAL RD #5B, PLANTATION, FL 33324-3428","14","06/30/1977","Approved","Recorded","MA00004773","TRELLISES ASSN, INC","","9731 N  NEW RIVER CANAL ROAD","PLANTATION","FL","33324-3419"
"PR1M003187","47408","TRELLISES #6A, THE","Broward","9731 N NEW RIVER CANAL RD #6A, PLANTATION, FL 33324-3428","10","10/19/1978","Approved","Recorded","MA00004773","TRELLISES ASSN, INC","","9731 N  NEW RIVER CANAL ROAD","PLANTATION","FL","33324-3419"
"PR1M003298","47412","SEQUOIA GARDENS I, A CONDO","Broward","510 SE 2ND AVE, DEERFIELD BEACH, FL 33441-5468","40","12/03/1981","Approved","Recorded","MA00007278","SEQUOIA GARDENS CONDO ASSN INC","","510 SE 2ND AVENUE","DEERFILED BEACH","FL","33441"
"PR1M003299","47413","SEQUOIA GARDENS II, A CONDO","Broward","510 SE 2ND AVE, DEERFIELD BEACH, FL 33441-5468","44","12/03/1981","Approved","Recorded","MA00007278","SEQUOIA GARDENS CONDO ASSN INC","","510 SE 2ND AVENUE","DEERFILED BEACH","FL","33441"
"PR1M003300","47414","SEQUOIA GARDENS III, A CONDO","Broward","510 SE 2ND AVE, DEERFIELD BEACH, FL 33441-5468","56","06/28/1982","Approved","Recorded","MA00007278","SEQUOIA GARDENS CONDO ASSN INC","","510 SE 2ND AVENUE","DEERFILED BEACH","FL","33441"
"PR1M003315","47415","TROPIC BAY CONDO BLDG 3","Palm Beach","901 GARDENIA DR, DELRAY BEACH, FL 33483-4842","34","01/14/1980","Approved","Recorded","MA00000657","TROPIC BAY CONDO APT ASSN INC","C/O KW PROPERTY MANAGEMENT","8200 NW 33RD STREET, SUITE 300","MIAMI","FL","33122"
"PR1M003316","47416","TROPIC BAY CONDO BLDG 5","Palm Beach","2801 FLA BLVD, DELRAY BEACH, FL 33444","24","06/21/1978","Approved","Recorded","MA00000657","TROPIC BAY CONDO APT ASSN INC","C/O KW PROPERTY MANAGEMENT","8200 NW 33RD STREET, SUITE 300","MIAMI","FL","33122"
"PR1M003317","47417","TROPIC BAY CONDO BLDG 6","Palm Beach","2801 FLA BLVD, DELRAY BEACH, FL 33444","24","06/21/1978","Approved","Recorded","MA00000657","TROPIC BAY CONDO APT ASSN INC","C/O KW PROPERTY MANAGEMENT","8200 NW 33RD STREET, SUITE 300","MIAMI","FL","33122"
"PR1M003318","47418","TROPIC BAY CONDO BLDG 10","Palm Beach","2801 FLA BLVD, DELRAY BEACH, FL 33444","24","06/21/1978","Approved","Recorded","MA00000657","TROPIC BAY CONDO APT ASSN INC","C/O KW PROPERTY MANAGEMENT","8200 NW 33RD STREET, SUITE 300","MIAMI","FL","33122"
